username,password_resume
ana_fuerte,Xk9$mQp2#vL8nR
carlos99,password123
maria_larga,EstaEsUnaContraseñaMuyLargaYSegura2024!
juan_corta,ab1
sofia_numerica,48291057
pedro_alfa,contraseña
laura_alfanum,MiClave2024
diego_especial,!@#$%^&*
elena_debil,12345
javier_medio,Casa1234
lucia_sinespeciales,SoloLetrasYNumeros99
marcos_soloespeciales,!@#$%
paula_muycorta,x1
ruben_muylarga,UnaContraseñaExtremadamenteLargaConMuchosCaracteresParaProbarLimites123!@#
carmen_comun,qwerty
alberto_secuencial,abcdef123456
isabel_repetida,aaaaaa
fernando_mayus,CONTRASEÑAFUERTE
gabriela_minus,contraseñadebil
raul_fecha,01011990
patricia_nombre,patricia2024
sergio_vacia,
monica_espacio,mi clave secreta
antonio_unicaracter,a
beatriz_maxima,Tr0ub4dor&3ExtraLong$ecurePassphrase2024#
